0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
NaN,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
NaN,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
NaN,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
NaN,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
NaN,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.55348,-0.012853,0.25634,0.27063,0.31136,0.37087,0.45602,0.48364,0.49929,0.49283
0,0.40559,0.45753,0.46977,0.46771,0.46754,0.51977,0.53554,0.56226,0.55735
0.31274,0.38007,0.47765,0.52828,0.5431,0.52885,0.58355,0.56875,0.59714,0.60181
-0.71463,0.19581,0.29796,0.36756,0.38927,0.37451,0.41096,0.427,0.45516,0.48493
0,0.21231,0.38955,0.37794,0.41858,0.41036,0.45084,0.48025,0.51016,0.5096
0.25135,0.45191,0.4567,0.48594,0.46974,0.4935,0.55189,0.53633,0.56294,0.56557
-0.62391,0.17954,0.3439,0.40906,0.43358,0.42667,0.51423,0.50985,0.51003,0.51345
0,0.30954,0.36543,0.43526,0.47958,0.45417,0.46439,0.52394,0.50217,0.52226
0.32215,0.4922,0.56754,0.51957,0.58174,0.51652,0.55738,0.59134,0.56874,0.57198
-0.60229,-0.01414,0.17177,0.25829,0.29046,0.2779,0.41984,0.41401,0.39996,0.43966
NaN,-1.1434,1.2435,-1.2171,0.78948,1.2372,-0.70874,0.50644,2.9957,-0.14222
0.27333,0.46934,0.41116,0.4862,0.46906,0.46331,0.48531,0.54078,0.56223,0.53765
-0.52674,0.17081,0.37696,0.41671,0.46961,0.43376,0.5121,0.53397,0.55587,0.54326
0,0.34205,0.39272,0.46136,0.45109,0.4269,0.49186,0.50882,0.51672,0.53036
0.29359,0.31635,0.42276,0.38859,0.43065,0.43835,0.47716,0.48633,0.54147,0.52058
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.078049,-0.0025459,0.071742,0.088247,0.12539,0.15975,0.22532,0.24957,0.28386,0.2861
0,0.11352,0.1615,0.18707,0.20755,0.23377,0.27769,0.30767,0.32871,0.34635
0.071734,0.12421,0.18731,0.23316,0.26889,0.27931,0.32836,0.34335,0.37379,0.3769
-0.083139,0.048875,0.089684,0.13562,0.15967,0.16986,0.20526,0.2262,0.25612,0.28889
0,0.054451,0.13254,0.14625,0.18638,0.20183,0.22831,0.2563,0.28807,0.30479
0.067328,0.14418,0.17452,0.2094,0.21601,0.24471,0.29511,0.30003,0.34042,0.35529
